Word/Phrase,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,0
nation (n.),ˈneɪʃn/ নেশন/ ney-shuhn,"A large body of people united by common descent, history, culture, or language, inhabiting a particular country or territory.",জাতি / রাষ্ট্র,The whole nation celebrated the victory.,"A large, diverse crowd of people holding a glowing map of a country together.","whole nation, independent nation",
national (adj.),ˈnæʃnəl/ ন্যাশনাল/ nash-uh-nl,Relating to a nation; common to or characteristic of a whole nation.,জাতীয়,We sang the national anthem.,A large national flag waving proudly in the wind against a blue sky.,"national park, national security",
natural (adj.),ˈnætʃrəl/ ন্যাচারাল/ nach-er-uhl,Existing in or caused by nature; not made or caused by humankind.,প্রাকৃতিক,It is a natural phenomenon.,"A beautiful, untouched green forest with a natural waterfall flowing purely.","natural disaster, natural resources",
naturally (adv.),ˈnætʃrəli/ ন্যাচারালি/ nach-er-uh-lee,In a natural manner; without artificial help.,স্বাভাবিকভাবে,He is naturally gifted at music.,A small green sprout naturally breaking through the soil into the sunlight.,"occur naturally, behave naturally",
nature (n.),ˈneɪtʃə/ নেচার/ ney-cher,"The phenomena of the physical world collectively, including plants, animals, the landscape, and other features and products of the earth.",প্রকৃতি,I love taking walks in nature.,"A breathtaking landscape with lush green trees, a clear blue lake, and mountains.","mother nature, human nature",
navy (n.),ˈneɪvi/ নেভি/ ney-vee,The branch of a nation's armed services that conducts military operations at sea.,নৌবাহিনী,He served in the navy for ten years.,"A large, powerful gray naval battleship sailing through open ocean waves.","join the navy, royal navy",
"near (adj.), (adv.), (prep.) ",nɪə/ নিয়ার/ neer,At or to a short distance away.,কাছে / নিকটবর্তী,She lives near the school.,"A house positioned right next to a school building, showing proximity.","near the end, near here",
"nearby (adj.), (adv.) ",ˌnɪəˈbaɪ/ নিয়ারবাই/ neer-bahy,Close at hand; not far away.,আশপাশের,We walked to a nearby park.,A signpost pointing down a short path to a visible green park just ahead.,"live nearby, nearby town",
nearly (adv.),ˈnɪəli/ নিয়ারলি/ neer-lee,Very close to; almost.,প্রায়,I have nearly finished my book.,A progress bar glowing green that is 99% full and almost complete.,"nearly impossible, nearly always",
neat (adj.),niːt/ নিট/ neet,"Arranged in an orderly, tidy way.",পরিপাটি,His desk is always very neat.,A perfectly organized modern desk with pens in a holder and books stacked perfectly straight.,"neat and tidy, look neat",
neatly (adv.),ˈniːtli/ নিটলি/ neet-lee,In a neat way.,পরিপাটিভাবে,She folded her clothes neatly.,A stack of freshly laundered shirts folded with absolute precision.,"neatly folded, neatly written",
necessarily (adv.),ˌnɛsəˈsɛrəli/ নেসেসারিলি/ nes-uh-ser-uh-lee,As a necessary result; inevitably.,অপরিহার্যভাবে,Bigger isn't necessarily better.,"A small, brilliant, glowing diamond next to a large, dull, grey rock.","not necessarily, don't necessarily",
necessary (adj.),ˈnɛsəsəri/ নেসেসারি/ nes-uh-ser-ee,"Required to be done, achieved, or present; needed; essential.",প্রয়োজনীয়,It is necessary to wear a seatbelt.,A close up of a seatbelt clicking securely into its buckle lock.,"absolutely necessary, if necessary",
neck (n.),nɛk/ নেক/ nek,The part of a person's or animal's body connecting the head to the rest of the body.,ঘাড় / গলা,She wore a gold necklace around her neck.,An elegant gold necklace resting gracefully on a person's neck.,"broken neck, stiff neck",
"need (v.), (modal) (v.), (n.) ",niːd/ নিড/ need,Require (something) because it is essential or very important.,প্রয়োজন,Plants need water to survive.,A drooping green plant reaching eagerly toward a watering can.,"in need of, desperately need",
needle (n.),ˈniːdl/ নিডল/ nee-dl,A very fine slender piece of metal with a point at one end and a hole or eye for thread at the other.,সুই,She threaded the needle carefully.,A close up of a tiny silver sewing needle with a red thread passing through its eye.,"needle and thread, pine needle",
negative (adj.),ˈnɛɡətɪv/ নেগেটিভ/ neg-uh-tiv,Consisting in or characterized by the absence rather than the presence of distinguishing features.,নেতিবাচক,He has a negative attitude.,"A glowing red minus symbol floating above a grey, pessimistic-looking face.","negative effect, negative attitude",
neighbour (BrE) (NAmE neighbor) (n.),ˈneɪbə/ নেইবার/ ney-ber,A person living next door to or very near to the speaker or person referred to.,প্রতিবেশী,My neighbour is very friendly.,Two people smiling and waving to each other over a white picket fence between their houses.,"next-door neighbour, good neighbour",
neighbourhood (BrE) (NAmE neighborhood) (n.),ˈneɪbəhʊd/ নেইবারহুড/ ney-ber-hood,A district or community within a town or city.,আশপাশ / পাড়া,It is a quiet and safe neighbourhood.,"A peaceful suburban street with nice houses, green lawns, and large trees.","friendly neighbourhood, quiet neighbourhood",
"neither (det.), (pron.), (adv.) ",ˈnaɪðə/ নাইদার/ nahy-ther,Not the one nor the other of two people or things; not either.,কোনোটিই না,Neither of the answers is correct.,"Two distinct paths marked with big red 'X' signs, showing both are blocked.","neither of them, me neither",
nephew (n.),ˈnɛfjuː/ নেফিউ/ nef-yoo,A son of one's brother or sister.,ভাইপো / ভাগ্নে,I bought a toy for my nephew.,An uncle handing a brightly wrapped present to a happy little boy.,"young nephew, niece and nephew",
nerve (n.),nɜːv/ নার্ভ/ nurv,A whitish fiber or bundle of fibers that transmits impulses of sensation to the brain or spinal cord.,স্নায়ু,He suffered damage to the optic nerve.,"A glowing, highly detailed diagram of human neural pathways lighting up.","hit a nerve, lose your nerve",
nervous (adj.),ˈnɜːvəs/ নার্ভাস/ nur-vuhs,Easily agitated or alarmed; tending to be anxious.,স্নায়বিক / চিন্তিত,I always feel nervous before an exam.,"A person biting their fingernails, looking sweaty and highly anxious.","feel nervous, nervous system",
nervously (adv.),ˈnɜːvəsli/ নার্ভাসলি/ nur-vuhs-lee,In an anxious or apprehensive manner.,চিন্তিতভাবে,She looked around nervously.,"A person peering out from behind a curtain with wide, fearful eyes.","wait nervously, look nervously",
"nest (n.), (v.) ",nest/ নেস্ট/ nest,A structure built by birds or insects to leave their eggs in to develop.,পাখির বাসা,The bird built a nest in the tree.,A beautifully woven bird's nest resting securely in the fork of a tree branch holding three blue eggs.,"bird's nest, build a nest",
net (n.),nɛt/ নেট/ net,"A piece of open-meshed material made of twine, cord, or something similar.",জাল,The fisherman threw his net into the sea.,"A large, woven fishing net being cast widely over a dark blue ocean surface.","fishing net, safety net",
network (n.),ˈnɛtwɜːk/ নেটওয়ার্ক/ net-wurk,An arrangement of intersecting horizontal and vertical lines; a group or system of interconnected people or things.,জালের মত বিস্তার / নেটওয়ার্ক,The computer network is down.,Glowing interconnected digital nodes and lines forming a complex global web.,"computer network, social network",
never (adv.),ˈnɛvə/ নেভার/ nev-er,At no time in the past or future; on no occasion.,কখনো না,I have never been to Paris.,A bold red prohibition sign stamped heavily over a calendar.,"never mind, almost never",
nevertheless (adv.),ˌnɛvəðəˈlɛs/ নেভারদিলেস/ nev-er-thuh-les,In spite of that; however.,তা সত্ত্বেও,"It was raining, but we went out nevertheless.","A bright yellow umbrella fully open, walking happily forward despite heavy grey rain.","nevertheless it is, but nevertheless",
new (adj.),njuː/ নিউ/ nyoo,"Not existing before; made, introduced, or discovered recently.",নতুন,I bought a new car.,"A pristine, shiny sports car with a giant red gift bow on top.","brand new, new year",
newly (adv.),ˈnjuːli/ নিউলি/ nyoo-lee,Recently.,নতুনভাবে,The newly painted walls look great.,A fresh coat of vibrant blue paint on a wall with a wet paintbrush resting nearby.,"newly married, newly discovered",
news (n.),njuːz/ নিউজ/ nyooz,"Newly received or noteworthy information, especially about recent or important events.",খবর,I saw the story on the evening news.,A classic folded newspaper with the bold headline 'BREAKING NEWS'.,"good news, breaking news",
newspaper (n.),ˈnjuːzpeɪpə/ নিউজপেপার/ nyooz-pey-per,"A printed publication containing news, feature articles, advertisements, and correspondence.",খবরের কাগজ,He reads the newspaper every morning.,"A person reading an open, black-and-white broadsheet newspaper with coffee nearby.","read the newspaper, local newspaper",
"next (adj.), (adv.), (n.) ",nɛkst/ নেক্সট/ nekst,Coming immediately after the time of writing or speaking.,পরবর্তী,I will see you next week.,"A green arrow pointing firmly forward to a blank, glowing futuristic calendar block.","next week, next step",
next to (prep.),nɛkst tuː/ নেক্সট টু/ nekst too,Beside.,পাশে,She sat next to me on the bus.,Two empty bus seats right beside each other.,"right next to, stand next to",
nice (adj.),naɪs/ নাইস/ nahys,Pleasant; agreeable; satisfactory.,সুন্দর / ভালো,Have a nice day!,"A bright, cheerful yellow smiley face over a field of daisies.","very nice, nice to meet",
nicely (adv.),ˈnaɪsli/ নাইসলি/ nahys-lee,In an attractive or pleasing way.,সুন্দরভাবে,The project is coming along nicely.,"A beautifully, neatly wrapped gift box with a perfect satin ribbon.","do nicely, nicely decorated",
