Word/Phrase,Type,Category ,Sub-Category ,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,Synonym,Antonym
load,"(n.), (v.)","Language of thought, action & change","Amounts, quantities & degrees",ləʊd/ লোড / lohd,Something carried; to put into,বোঝা / লোড করা,The truck has a heavy load.,"A truck being loaded with boxes in a warehouse, realistic scene","heavy load, load up, load of work, download load","fill, weight, burden, cargo","unload, empty"
mass,"(n.), (adj.)","Language of thought, action & change","Amounts, quantities & degrees",mæs/ ম্যাস / mas,Large quantity; solid,স্তূপ / বড় পরিমাণ,A mass of people gathered.,"A large crowd forming a solid shape in a square, dramatic illustration","mass of, mass media, mass production, critical mass","large amount, bulk, widespread, crowd",
much,"(det.), (pron.), (adv.)","Language of thought, action & change","Amounts, quantities & degrees",mʌtʃ/ মাচ / much,A large amount; to a great degree,অনেক / অনেকটা,I don't have much time.,"An hourglass with very little sand left, urgent mood illustration","too much, so much, how much, much better","a lot, very, greatly, considerably","little, slightly"
pile,"(n.), (v.)","Language of thought, action & change","Amounts, quantities & degrees",paɪl/ পাইল / pile,Heap; to stack,স্তূপ / স্তূপ করা,A pile of books on the table.,"Tall stack of colorful books about to fall, fun cartoon style","pile up, pile of, pile on, make a pile","heap, stack, accumulate, mound","scatter, spread"
"plenty ,","(pron.), (adv.), (n.), (det.)","Language of thought, action & change","Amounts, quantities & degrees",ˈplen.ti/ প্লেন্টি / plen-tee,More than enough,প্রচুর / যথেষ্ট,There is plenty of time.,"Overflowing basket of fruits and vegetables, abundant illustration","plenty of, plenty more, more than plenty, plenty big","lots, abundance, enough, sufficient","scarcity, shortage"
spare,"(adj.), (n.)","Language of thought, action & change","Amounts, quantities & degrees",speər/ স্পেয়ার / spair,Extra; not in use,অতিরিক্ত / অতিরিক্ত অংশ,I have a spare pen.,"Extra car tire leaning against a wall, clean realistic render","spare time, spare parts, spare room, go spare","extra, additional, free, reserve","essential, necessary"
highly,(adv.),"Language of thought, action & change","Amounts, quantities & degrees",ˈhaɪli/ হাইলি/ hahy-lee,At or to a high degree or level; very,অত্যন্ত,It is highly unlikely to happen.,A graph showing an arrow pointing straight up to a bright green peak,"highly recommend, highly likely","very, extremely, greatly, remarkably","slightly, poorly"
complicate,(v.),"Language of thought, action & change","Amounts, quantities & degrees",ˈkɒmplɪkeɪt/ কমপ্লিকেট/ kom-pli-keyt,Make (something) more difficult or confusing by causing it to be more complex,জটিল করা,Don't complicate the situation further.,A huge knot of tangled wires impossible to untangle,"needlessly complicate, complicate matters, further complicate","make difficult, confuse, muddle","simplify, clarify"
quantity,(n.),"Language of thought, action & change","Amounts, quantities & degrees",ˈkwɒntəti/ কোয়ান্টিটি/ kwon-ti-tee,The amount or number of a material or abstract thing not usually estimated by spatial measurement.,পরিমাণ,We bought a large quantity of food.,"A massive, overflowing pile of identical boxes stacked high.","large quantity, small quantity","amount, number, total, volume",
minor,(adj.),"Language of thought, action & change","Amounts, quantities & degrees",ˈmaɪnə/ মাইনর/ mahy-ner,"Lesser in importance, seriousness, or significance.",নগণ্য / অপ্রাপ্তবয়স্ক,He suffered only minor injuries.,"A small, simple adhesive bandage placed on a tiny scratch.","minor injury, minor problem","small, insignificant, secondary, trivial","major, significant"
major,(adj.),"Language of thought, action & change","Amounts, quantities & degrees",ˈmeɪdʒə/ মেজর/ mey-jer,"Important, serious, or significant.",প্রধান / বড়,He had a major operation.,"A large, imposing building with grand columns dominating a city square.","major problem, major role","important, significant, main, primary","minor, insignificant"
mainly,(adv.),"Language of thought, action & change","Amounts, quantities & degrees",ˈmeɪnli/ মেইনলি/ meyn-lee,More than anything else.,প্রধানত,The audience consisted mainly of students.,A pie chart showing one massive slice taking up almost the entire circle.,"consist mainly of, used mainly","mostly, chiefly, primarily, largely","partly, slightly"
many,"(det.), (pron.)","Language of thought, action & change","Amounts, quantities & degrees",ˈmɛni/ মেনি/ men-ee,A large number of.,অনেক,There are many people in the park.,"A dense, bustling crowd of people walking down a busy city street.","too many, a good many","numerous, a lot, plenty, several","few, little"
mostly,(adv.),"Language of thought, action & change","Amounts, quantities & degrees",ˈmoʊstli/ মোস্টলি/ mohst-lee,As regards the greater part or number.,অধিকাংশ ক্ষেত্রে,The sky was mostly cloudy.,A sky almost completely covered in fluffy white clouds with only tiny patches of blue.,"mostly due to, consisting mostly of","mainly, generally, largely, predominantly","partly, rarely"
nearly,(adv.),"Language of thought, action & change","Amounts, quantities & degrees",ˈnɪəli/ নিয়ারলি/ neer-lee,Very close to; almost.,প্রায়,I have nearly finished my book.,A progress bar glowing green that is 99% full and almost complete.,"nearly impossible, nearly always","almost, approximately, about, close to","far from, exactly"
almost,(adv.),"Language of thought, action & change","Amounts, quantities & degrees",ˈɔːlmoʊst/ অলমোস্ট/ awl-mohst,Not quite; very nearly,প্রায়,We are almost there.,"A car approaching the finish line on a race track, motion blur","almost impossible, almost finished, almost certainly","nearly, practically, virtually, just about","completely, far from"
rather than,(phrase),"Language of thought, action & change","Amounts, quantities & degrees",ˈrɑːðə(r) ðæn/ রাদার দ্যান/ rah-ther than,Instead of.,এর চেয়ে বরং,I will have water rather than soda.,A person pushing away a can of soda and taking a glass of clear water.,"rather than going, choose rather than","instead of, as opposed to, preferring over",
rather,(adv.),"Language of thought, action & change","Amounts, quantities & degrees",ˈrɑːðə/ রাদার/ rah-ther,To a certain or significant extent or degree.,বরং,It's rather cold today.,A person shivering slightly while wearing a light jacket in a cold wind.,"rather than, would rather","quite, somewhat, instead, fairly",
several,"(det.), (pron.)","Language of thought, action & change","Amounts, quantities & degrees",ˈsevrəl/ সেভারেল/ sev-ruhl,More than two but not many.,কয়েকটি,I have visited that city several times.,"Three or four different distinct objects, like colorful blocks, laid out together.","several times, several years","a few, some, various, a number of","none, one"
somewhat,(adv.),"Language of thought, action & change","Amounts, quantities & degrees",ˈsʌmwɒt/ সামহোয়াট/ suhm-wot,To some extent.,কিছুটা,I was somewhat surprised by her answer.,A partially filled glass to visually depict 'to some extent'.,"somewhat different, somewhat surprised","a little, slightly, fairly, moderately","completely, very"
somewhere,(adv.),"Language of thought, action & change","Amounts, quantities & degrees",ˈsʌmwɛə/ সামহোয়্যার/ suhm-wair,In or to some place.,কোথাও,I lost my keys somewhere in the house.,"A map with a large, blurry circle covering a general area.","go somewhere, somewhere else","in some place, at some location","nowhere, anywhere"
typical,(adj.),"Language of thought, action & change","Amounts, quantities & degrees",ˈtɪpɪkl/ টিপিক্যাল/ tip-i-kuhl,Having the distinctive qualities of a particular type of person or thing,সাধারণ / আদর্শ,It was a typical summer day.,A perfectly sunny day with a few fluffy white clouds,"typical example, typical behavior","usual, standard, representative, normal","unusual, atypical"
